rowid,timestamp,sender,message
386,2026-04-30T20:06:01.069Z,AI Agent (me),Can Abraham also take care of that? Or should we send Yonic?
459,2026-04-30T20:05:42.839Z,AI Agent (me),She also reported that the sinks in the bathroom are draining slowly.
474,2026-04-30T20:04:46.078Z,AI Agent (me),"Tenant at Van Buren, Unit 2919 1/2 reported that the entryway doorknob at the top of the stairs stopped working; it twists but doesn’t open the door anymore."
700,2026-04-30T20:09:55.345Z,Property Manager,Send both to Abraham
728,2026-04-30T20:04:52.233Z,AI Agent (me),Should we send Abraham for this?
743,2026-04-30T20:10:08.209Z,AI Agent (me),Liked “Send both to Abraham”
822,2026-04-30T02:48:14.618Z,AI Agent (949),"Liked “I’m on it, no need to do anything for the moment. Im coordinating directly. ”"
830,2026-04-30T02:47:07.214Z,Property Manager,"I’m on it, no need to do anything for the moment. Im coordinating directly. "
963,2026-04-30T01:59:02.397Z,AI Agent (949),Did either owner get back to you about which actions to take?
1006,2026-04-29T18:38:03.899Z,AI Agent (949),Liked “I’ll send it to the owner for approval later today.”
1011,2026-04-29T18:35:11.343Z,AI Agent (949),"Regarding kitchen skylight leaking in Unit 19/12 at 19 Ozone:

Precision Roofing sent estimate for $850 to replace damaged kitchen skylight that has been leaking from the rain.

Should we send this to the owner for approval before moving forward?"
1028,2026-04-29T18:38:00.246Z,AI Agent (949),Sounds good. How about the issue at 213 Arnaz?
1076,2026-04-29T18:36:26.298Z,Property Manager,I’ll send it to the owner for approval later today.
1115,2026-04-29T18:26:09.303Z,AI Agent (949),"Tenant at 213 S Arnaz Dr. mentioned that the gardener reported wooden door covering electrical panel has rotted and fallen off.

Should we send Ismael or Abraham for this?"
1127,2026-04-29T14:54:42.697Z,AI Agent (949),"Hi Jose,

Unit 4 at 1951 22nd St reported that kitchen window screen fell off due to wind and living room screen appears loose/damaged and may fall off as well.

Send Abraham?"
1149,2026-04-29T18:38:33.652Z,Property Manager,I will discuss with the owner as well and see who he wants us to send.
1214,2026-04-29T14:59:53.444Z,AI Agent (949),Liked “Yes please ”
1248,2026-04-29T18:38:41.853Z,AI Agent (949),Liked “I will discuss with the owner as well and see who he wants us to send.”
1307,2026-04-29T14:57:12.108Z,Property Manager,Yes please 
1668,2026-04-27T16:23:16.054Z,AI Agent (949),"Unit 6 at Ocean Park said the electrical panel is properly set but there is no power near the sink in the kitchen. Also, the power trips whenever the microwave is used.

Should we send Osalpa?"
1676,2026-04-27T16:30:29.988Z,Property Manager,"Yes, send it to Osalpa "
1788,2026-04-28T21:21:12.133Z,AI Agent (me),"Hi Jose

A new work order from Ozone unit 3 came in.

It's regarding a broken water heater, water coming in from the 2 patio sliders, and

""Also, A threshold between the DR and Kit was supposed to be installed""

Should we send Kori for the sliders? 

He mentioned that Kori has reset the water heater multiple times. What should we do about that?"
1842,2026-04-27T14:38:17.761Z,AI Agent (me),"Hi Jose

There are 3 more work orders that came in over the weekend:
1. Front call box broken @ Primrose
2. Clog in main drain from kitchen @ Palos Verdes
3. Noise complaint regarding unit 1 @ Westmoreland

I was thinking we could send LA HydroJet for the clogged drain. Could you take a look at the call box?

For the noise complaint, should we notify unit 1 via email?"
1958,2026-04-26T02:21:08.994Z,AI Agent (me),"Liked “Tell them to check the breakers to see if one is tripped. If so, do turn it back on. If she issue persists ask to see if we can send an electrician on Monday.”"
1959,2026-04-26T02:21:11.624Z,AI Agent (me),Got it
1961,2026-04-27T16:32:10.219Z,AI Agent (949),"Liked “Yes, send it to Osalpa ”"
1991,2026-04-27T15:20:38.678Z,Property Manager,"Yes, send LA hydro for kitchen sink. I’ll take care of the other two "
2047,2026-04-27T15:21:06.126Z,AI Agent (me),"Liked “Yes, send LA hydro for kitchen sink. I’ll take care of the other two ”"
2051,2026-04-24T19:05:03.245Z,Property Manager,I’ll stop by soon 
2094,2026-04-24T22:07:11.505Z,AI Agent (me),"The tenant from unit 3 at 144 S. Westmoreland said that almost all of the washing machines in the laundry room aren't working properly. 

""Washing machines are taking coins, resetting after coins are put in""

What should we do about this?"
2105,2026-04-26T02:11:48.120Z,AI Agent (me),"Hi Jose

I know it's the weekend, but unit 6 at 829 Ocean park reported that kitchen power keeps going out. 

Should we do something about that right now or wait till Monday?"
2121,2026-04-24T22:38:48.787Z,Property Manager,I’ll take care of the soon 
2213,2026-04-24T21:57:02.034Z,AI Agent (me),Liked “Yes”
2224,2026-04-24T18:13:21.499Z,AI Agent (me),"Hi Jose,

Alexandra from Unit 8 at Rose Avenue said a homeless person is camped in her parking spot.

Should we send Kori to look since it's Rose or will you take a look?
I remember last time you went for the homeless situation."
2259,2026-04-26T02:19:57.446Z,Property Manager,"Tell them to check the breakers to see if one is tripped. If so, do turn it back on. If she issue persists ask to see if we can send an electrician on Monday."
